timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-11T08:02:37.383Z,00:08:50.54,530.54,1178000,2220.40,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:02:47.395Z,00:09:00.55,540.55,1178000,2179.27,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:02:57.400Z,00:09:10.55,550.55,1178000,2139.67,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:07.405Z,00:09:20.56,560.56,1178000,2101.48,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:17.413Z,00:09:30.57,570.57,1178000,2064.62,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:27.418Z,00:09:40.57,580.57,1178000,2029.04,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:37.425Z,00:09:50.58,590.58,1178000,1994.66,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:47.428Z,00:10:00.58,600.58,1178000,1961.44,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:03:57.433Z,00:10:10.59,610.59,1178000,1929.30,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:07.437Z,00:10:20.59,620.59,1178000,1898.20,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:17.444Z,00:10:30.60,630.60,1178000,1868.07,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:27.447Z,00:10:40.60,640.60,1178000,1838.90,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:37.450Z,00:10:50.60,650.60,1178000,1810.63,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:47.455Z,00:11:00.61,660.61,1178000,1783.21,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:04:57.462Z,00:11:10.61,670.61,1178000,1756.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:07.471Z,00:11:20.62,680.62,1178000,1730.77,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:17.477Z,00:11:30.63,690.63,1178000,1705.69,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:27.483Z,00:11:40.64,700.64,1178000,1681.33,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:37.487Z,00:11:50.64,710.64,1178000,1657.66,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:47.490Z,00:12:00.64,720.64,1178000,1634.65,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:05:57.494Z,00:12:10.65,730.65,1178000,1612.27,1178000,0.00,0.00,0.00,0.00
