timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-18T09:22:42.630Z,00:08:50.80,530.80,1252000,2358.69,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:22:52.637Z,00:09:00.81,540.81,1252000,2315.04,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:02.643Z,00:09:10.82,550.82,1252000,2272.99,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:12.649Z,00:09:20.82,560.82,1252000,2232.43,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:22.653Z,00:09:30.83,570.83,1252000,2193.31,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:32.656Z,00:09:40.83,580.83,1252000,2155.53,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:42.660Z,00:09:50.83,590.83,1252000,2119.04,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:23:52.664Z,00:10:00.84,600.84,1252000,2083.76,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:02.667Z,00:10:10.84,610.84,1252000,2049.63,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:12.670Z,00:10:20.84,620.84,1252000,2016.61,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:22.673Z,00:10:30.85,630.85,1252000,1984.63,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:32.675Z,00:10:40.85,640.85,1252000,1953.66,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:42.678Z,00:10:50.85,650.85,1252000,1923.63,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:24:52.680Z,00:11:00.85,660.85,1252000,1894.52,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:25:02.683Z,00:11:10.86,670.86,1252000,1866.27,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:25:12.686Z,00:11:20.86,680.86,1252000,1838.85,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:25:22.688Z,00:11:30.86,690.86,1252000,1812.23,1252000,0.00,0.00,0.00,0.00
